Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
44,U.C. Riverside,Los Angeles Basin,1/15/2000,015,2.93, ,0.00, ,112, ,0.5, ,28.1,Y,11.0, ,17.7, ,37, ,13, ,25, ,-2.8, ,1.6, ,137.0, ,11.5, 
44,U.C. Riverside,Los Angeles Basin,1/16/2000,016,1.03, ,0.00, ,38, ,0.8, ,16.8, ,12.0, ,14.4, ,76, ,30, ,51, ,4.5, ,1.3, ,112.2, ,11.5, 
44,U.C. Riverside,Los Angeles Basin,1/17/2000,017,1.12, ,0.00, ,71, ,1.3,Y,22.7, ,12.8,Y,16.7, ,85, ,50, ,70,Y,11.3,Y,1.2, ,102.0, ,12.3, 
44,U.C. Riverside,Los Angeles Basin,1/18/2000,018,2.30, ,0.00,H,121, ,1.2,Y,24.4, ,12.9,Y,17.7, ,78, ,37, ,59,Y,9.6,Y,1.7, ,142.6, ,13.2, 
44,U.C. Riverside,Los Angeles Basin,1/19/2000,019,2.03, ,0.00, ,129, ,1.2,Y,23.2, ,10.8, ,16.2, ,85, ,43, ,67,Y,10.0,Y,1.4, ,119.8, ,13.5, 
44,U.C. Riverside,Los Angeles Basin,1/20/2000,020,1.89, ,0.00, ,129, ,1.4,Y,21.7, ,11.8, ,16.1, ,89, ,53, ,75,Y,11.5,Y,1.5, ,127.4, ,14.0, 
44,U.C. Riverside,Los Angeles Basin,1/21/2000,021,1.42, ,0.00, ,109, ,1.2,Y,17.7, ,9.8, ,13.6, ,95, ,59, ,80,Y,10.2,Y,1.3, ,113.7, ,14.3,Y
44,U.C. Riverside,Los Angeles Basin,1/22/2000,022,1.44, ,0.00, ,116, ,1.1, ,16.7, ,8.7, ,12.2, ,92, ,55, ,74, ,7.7, ,1.2, ,107.3, ,13.9, 
44,U.C. Riverside,Los Angeles Basin,1/23/2000,023,1.13, ,0.00, ,88, ,1.0, ,17.9, ,7.1, ,12.3, ,93, ,46, ,70, ,7.1, ,1.0, ,85.1, ,13.3, 
44,U.C. Riverside,Los Angeles Basin,1/24/2000,024,2.13, ,0.00, ,126, ,1.1, ,23.2, ,10.9, ,16.9, ,78, ,39, ,57, ,8.4, ,1.3, ,111.7, ,13.8, 
44,U.C. Riverside,Los Angeles Basin,1/25/2000,025,0.21, ,6.50, ,34, ,1.4,R,16.0, ,13.0,Y,14.2, ,96, ,80, ,89,R,,I,1.5, ,130.8, ,14.3,Y
44,U.C. Riverside,Los Angeles Basin,1/26/2000,026,2.08, ,0.00, ,156, ,1.1, ,17.9, ,8.4, ,13.2, ,95, ,45, ,73, ,8.5, ,1.7, ,145.0, ,14.4,Y
44,U.C. Riverside,Los Angeles Basin,1/27/2000,027,2.28, ,0.00, ,167, ,0.9, ,19.9, ,5.5, ,11.9, ,91, ,33, ,64, ,5.2, ,1.4, ,116.8, ,13.6, 
44,U.C. Riverside,Los Angeles Basin,1/28/2000,028,3.03, ,0.00, ,169, ,0.6, ,21.3, ,5.3, ,13.4, ,88, ,16, ,40, ,0.1, ,1.9, ,165.3, ,13.0, 
44,U.C. Riverside,Los Angeles Basin,1/29/2000,029,2.61, ,0.00, ,154, ,0.7, ,21.1, ,6.9, ,13.8, ,88, ,18, ,41, ,0.9, ,1.8, ,151.9, ,12.6, 
44,U.C. Riverside,Los Angeles Basin,1/30/2000,030,1.09, ,0.91, ,92, ,1.1, ,15.5, ,9.6, ,12.1, ,95, ,62, ,81, ,8.9, ,1.2, ,103.9, ,13.1, 
44,U.C. Riverside,Los Angeles Basin,1/31/2000,031,1.11, ,0.91, ,95, ,1.2,Y,16.2, ,8.8, ,12.5, ,93, ,67, ,83,Y,9.6,Y,1.5, ,127.3, ,13.6, 
44,U.C. Riverside,Los Angeles Basin,2/1/2000,032,3.03, ,0.00, ,178, ,0.8, ,24.7, ,7.6, ,16.0, ,91, ,23, ,47, ,4.6, ,2.0, ,173.5, ,13.5, 
44,U.C. Riverside,Los Angeles Basin,2/2/2000,033,3.76, ,0.00, ,185, ,0.5, ,26.0, ,9.0, ,17.6, ,54, ,11, ,25, ,-2.9, ,2.3, ,196.6, ,13.2, 
44,U.C. Riverside,Los Angeles Basin,2/3/2000,034,3.09, ,0.00, ,181, ,0.5, ,24.9, ,6.3, ,14.5, ,57, ,12, ,28, ,-3.7, ,1.6, ,141.3, ,12.7, 
44,U.C. Riverside,Los Angeles Basin,2/4/2000,035,2.15, ,0.00, ,120, ,0.7, ,19.6, ,7.5, ,13.1, ,75, ,28, ,47, ,2.0, ,1.3, ,116.2, ,12.6, 
44,U.C. Riverside,Los Angeles Basin,2/5/2000,036,1.55, ,0.00, ,123, ,1.2, ,18.8, ,8.2, ,12.8, ,95, ,57, ,78, ,9.1, ,1.2, ,99.4, ,13.0, 
44,U.C. Riverside,Los Angeles Basin,2/6/2000,037,2.68, ,0.00, ,178, ,0.9, ,25.8, ,7.2, ,14.6, ,96, ,16, ,57, ,6.1, ,1.4, ,116.8, ,13.2, 
44,U.C. Riverside,Los Angeles Basin,2/7/2000,038,3.33, ,0.00, ,178, ,0.6, ,29.2,Y,7.7, ,17.9, ,67, ,10, ,30, ,-0.1, ,1.4, ,124.4, ,13.5, 
44,U.C. Riverside,Los Angeles Basin,2/8/2000,039,1.72, ,0.00, ,68, ,0.7, ,20.9, ,10.5, ,15.8, ,58, ,24, ,38, ,1.5, ,1.3, ,116.1, ,13.5, 
44,U.C. Riverside,Los Angeles Basin,2/9/2000,040,2.50, ,0.00, ,163, ,1.0, ,20.4, ,8.9, ,13.7, ,90, ,48, ,65, ,7.3, ,1.7, ,149.3, ,13.5, 
44,U.C. Riverside,Los Angeles Basin,2/10/2000,041,0.77, ,0.00, ,72, ,1.2, ,15.7, ,10.1, ,11.9, ,94, ,70, ,85, ,9.4, ,1.9, ,167.5, ,13.7, 
44,U.C. Riverside,Los Angeles Basin,2/11/2000,042,1.65, ,0.00, ,134, ,1.1, ,16.9, ,9.7, ,12.1, ,95, ,54, ,77, ,8.2, ,1.7, ,146.8, ,13.7, 
44,U.C. Riverside,Los Angeles Basin,2/12/2000,043,1.57, ,5.98, ,108, ,1.0, ,15.4, ,9.9, ,12.1, ,92, ,54, ,74, ,7.6, ,2.4, ,206.9, ,13.8, 
44,U.C. Riverside,Los Angeles Basin,2/13/2000,044,0.34, ,1.95, ,54, ,1.2, ,12.6, ,9.8, ,11.0, ,96, ,85, ,91, ,9.6, ,1.1, ,99.1, ,13.6, 
44,U.C. Riverside,Los Angeles Basin,2/14/2000,045,1.08, ,1.04, ,95, ,1.4,Y,17.0, ,11.2, ,13.5, ,95, ,79, ,88,Y,11.6,Y,1.6, ,139.4, ,14.0, 
44,U.C. Riverside,Los Angeles Basin,2/15/2000,046,2.23, ,0.00, ,162, ,1.3,Y,19.6, ,10.1, ,14.0, ,95, ,55, ,79,Y,10.5,Y,1.2, ,99.7, ,14.7, 
44,U.C. Riverside,Los Angeles Basin,2/16/2000,047,0.51, ,7.02, ,59, ,1.2, ,14.8, ,7.0, ,11.5, ,95, ,69, ,90, ,9.9, ,1.8, ,153.8, ,14.5, 
44,U.C. Riverside,Los Angeles Basin,2/17/2000,048,2.01, ,1.04, ,156, ,0.9, ,14.8, ,7.7, ,10.3, ,92, ,49, ,72, ,5.4, ,1.4, ,118.8, ,13.8, 
44,U.C. Riverside,Los Angeles Basin,2/18/2000,049,3.07, ,0.00, ,176, ,0.8, ,20.8, ,4.9, ,12.6, ,93, ,27, ,54, ,3.4, ,1.8, ,154.6, ,13.6, 
44,U.C. Riverside,Los Angeles Basin,2/19/2000,050,4.09, ,0.00, ,171, ,0.5, ,23.7, ,10.6, ,18.0, ,49, ,16, ,27, ,-1.5, ,2.4, ,205.7, ,13.8, 
44,U.C. Riverside,Los Angeles Basin,2/20/2000,051,1.79, ,5.98, ,101, ,1.1, ,17.0, ,8.5, ,13.7, ,91, ,30, ,70, ,8.3, ,3.1, ,269.5, ,14.0, 
44,U.C. Riverside,Los Angeles Basin,2/21/2000,052,0.65, ,23.53, ,60, ,1.0, ,11.8, ,6.6, ,9.0, ,95, ,78, ,86, ,6.9, ,2.4, ,207.9, ,13.3, 
44,U.C. Riverside,Los Angeles Basin,2/22/2000,053,1.23, ,,M,110, ,,M,15.1, ,7.2, ,10.8, ,95, ,61, ,,M,,M,,M,,M,12.9, 
44,U.C. Riverside,Los Angeles Basin,2/23/2000,054,0.17, ,0.00, ,49, ,,M,11.9, ,0.0,Y,9.5, ,93, ,79, ,,M,,M,1.8, ,156.4, ,12.8, 
44,U.C. Riverside,Los Angeles Basin,2/24/2000,055,2.58, ,0.00, ,194, ,0.8, ,13.6, ,3.7, ,8.7, ,94, ,42, ,67, ,3.0, ,1.5, ,129.3, ,12.4, 
44,U.C. Riverside,Los Angeles Basin,2/25/2000,056,1.95, ,0.00, ,143, ,0.9, ,15.3, ,7.3, ,10.6, ,92, ,59, ,73, ,5.8, ,1.4, ,119.2, ,13.0, 
44,U.C. Riverside,Los Angeles Basin,2/26/2000,057,2.95, ,0.00, ,211, ,1.0, ,19.9, ,5.7, ,12.3, ,94, ,45, ,71, ,7.2, ,1.1, ,96.3, ,13.4, 
44,U.C. Riverside,Los Angeles Basin,2/27/2000,058,0.86, ,3.80, ,82, ,1.1, ,14.7, ,6.9, ,10.4, ,95, ,70, ,85, ,8.0, ,1.5, ,125.3, ,13.6, 
44,U.C. Riverside,Los Angeles Basin,2/28/2000,059,2.79, ,0.00, ,202, ,0.9, ,16.1, ,7.5, ,11.3, ,92, ,47, ,68, ,5.7, ,1.4, ,123.6, ,13.7, 
44,U.C. Riverside,Los Angeles Basin,2/29/2000,060,2.43, ,0.00, ,159, ,0.9, ,17.6, ,6.4, ,11.4, ,89, ,45, ,70, ,6.1, ,1.7, ,145.4, ,13.9, 
44,U.C. Riverside,Los Angeles Basin,3/1/2000,061,3.20, ,0.00, ,222, ,1.0, ,17.7, ,6.7, ,12.0, ,94, ,45, ,70, ,6.7, ,1.6, ,139.1, ,14.3, 
44,U.C. Riverside,Los Angeles Basin,3/2/2000,062,3.57, ,0.00, ,225, ,0.9, ,21.1, ,5.4, ,13.0, ,91, ,30, ,60, ,5.4, ,1.7, ,147.1, ,14.2, 
44,U.C. Riverside,Los Angeles Basin,3/3/2000,063,1.95, ,4.70, ,136, ,1.0, ,16.6, ,8.4, ,12.5, ,91, ,52, ,71, ,7.3, ,1.9, ,162.5, ,14.5, 
44,U.C. Riverside,Los Angeles Basin,3/4/2000,064,0.61, ,10.30, ,64, ,1.0, ,12.4, ,7.5, ,9.2, ,96, ,65, ,85, ,6.8, ,1.4, ,121.6, ,14.0, 
44,U.C. Riverside,Los Angeles Basin,3/5/2000,065,0.72, ,9.40, ,64, ,0.9, ,12.5, ,5.6, ,8.4, ,89, ,66, ,81, ,5.4, ,2.8, ,240.2, ,12.7, 
44,U.C. Riverside,Los Angeles Basin,3/6/2000,066,2.22, ,0.10, ,178, ,0.7, ,13.9, ,3.3, ,8.3, ,86, ,42, ,64, ,1.8, ,1.4, ,124.9, ,12.1, 
44,U.C. Riverside,Los Angeles Basin,3/7/2000,067,1.30, ,0.80, ,112, ,0.9, ,13.6, ,2.9, ,8.8, ,93, ,57, ,78, ,5.1, ,1.4, ,124.7, ,12.0, 
44,U.C. Riverside,Los Angeles Basin,3/8/2000,068,1.11, ,10.10, ,100, ,1.0, ,14.6, ,6.5, ,9.8, ,91, ,61, ,82, ,6.9, ,2.2, ,191.2, ,12.2, 
44,U.C. Riverside,Los Angeles Basin,3/9/2000,069,2.75, ,0.00, ,198, ,0.9, ,15.7, ,4.9, ,10.3, ,92, ,49, ,71, ,5.3, ,1.6, ,141.9, ,12.4, 
44,U.C. Riverside,Los Angeles Basin,3/10/2000,070,3.94, ,,M,253, ,,M,24.1, ,4.7, ,13.9, ,94, ,22, ,,M,,M,,M,,M,13.4, 
44,U.C. Riverside,Los Angeles Basin,3/11/2000,071,4.49, ,0.00, ,254, ,0.8, ,26.8, ,8.7, ,17.6, ,73, ,21, ,39, ,3.4, ,1.6, ,139.0, ,14.4, 
44,U.C. Riverside,Los Angeles Basin,3/12/2000,072,4.45, ,0.00, ,242, ,0.9, ,27.5, ,9.6, ,18.3, ,76, ,18, ,44, ,5.7, ,1.8, ,151.4, ,15.1, 
44,U.C. Riverside,Los Angeles Basin,3/13/2000,073,3.37, ,0.00, ,218, ,1.2, ,23.4, ,8.7, ,14.5, ,97, ,45, ,73, ,9.7, ,1.4, ,122.0, ,15.5, 
44,U.C. Riverside,Los Angeles Basin,3/14/2000,074,4.55, ,0.00, ,254, ,1.1, ,28.2, ,8.9, ,18.3, ,91, ,21, ,52, ,8.2, ,1.5, ,131.9, ,15.9, 
44,U.C. Riverside,Los Angeles Basin,3/15/2000,075,4.08, ,0.00, ,243, ,1.2, ,25.7, ,9.1, ,16.3, ,89, ,32, ,63, ,9.1, ,1.4, ,124.8, ,16.2, 
44,U.C. Riverside,Los Angeles Basin,3/16/2000,076,3.36, ,0.00, ,208, ,1.3, ,23.9, ,10.6, ,15.1, ,98, ,49, ,77, ,11.0, ,1.5, ,129.9, ,16.6, 
44,U.C. Riverside,Los Angeles Basin,3/17/2000,077,4.84, ,0.00, ,256, ,1.1, ,28.1, ,10.7, ,18.3, ,93, ,14, ,50, ,7.7, ,1.8, ,157.4, ,17.0, 
44,U.C. Riverside,Los Angeles Basin,3/18/2000,078,4.75, ,0.00, ,265, ,0.9, ,30.2, ,10.7, ,19.4, ,65, ,12, ,38, ,4.8, ,1.6, ,134.4, ,17.1, 
44,U.C. Riverside,Los Angeles Basin,3/19/2000,079,4.59, ,0.00, ,246, ,1.0, ,25.1, ,11.2, ,17.3, ,82, ,29, ,48, ,6.4, ,1.8, ,152.6, ,17.1, 
44,U.C. Riverside,Los Angeles Basin,3/20/2000,080,7.25, ,0.10,H,272, ,0.5, ,18.4, ,10.6, ,14.8, ,84, ,9, ,29, ,-3.2, ,5.7,R,492.9,R,16.1, 
44,U.C. Riverside,Los Angeles Basin,3/21/2000,081,6.94, ,0.00, ,275, ,0.4, ,22.1, ,8.2, ,15.1, ,69, ,11, ,21, ,-6.9, ,5.1,R,440.4,R,14.4, 
44,U.C. Riverside,Los Angeles Basin,3/22/2000,082,4.63, ,,M,269, ,0.7, ,22.2, ,6.3, ,14.4, ,78, ,20, ,44, ,2.4, ,,M,,M,14.5, 
44,U.C. Riverside,Los Angeles Basin,3/23/2000,083,4.31, ,0.00, ,256, ,0.8, ,21.1, ,7.1, ,13.8, ,81, ,26, ,51, ,3.8, ,1.6, ,138.8, ,15.3, 
44,U.C. Riverside,Los Angeles Basin,3/24/2000,084,4.38, ,0.00, ,319,R,,M,23.3, ,0.0,Y,17.4, ,86, ,21, ,,M,,M,1.8, ,155.0, ,16.3, 
44,U.C. Riverside,Los Angeles Basin,3/25/2000,085,3.11, ,0.00, ,210, ,1.1, ,20.7, ,7.3, ,12.6, ,92, ,38, ,73, ,7.9, ,1.5, ,126.2, ,15.7, 
44,U.C. Riverside,Los Angeles Basin,3/26/2000,086,4.40, ,0.00, ,274, ,1.0, ,24.6, ,7.1, ,14.9, ,93, ,28, ,60, ,7.3, ,1.4, ,123.6, ,16.0, 
44,U.C. Riverside,Los Angeles Basin,3/27/2000,087,1.57, ,1.50, ,113, ,1.1, ,17.8, ,10.0, ,12.9, ,89, ,51, ,72, ,8.1, ,1.3, ,108.1, ,16.0, 
44,U.C. Riverside,Los Angeles Basin,3/28/2000,088,2.68, ,0.00, ,172, ,1.1, ,17.2, ,10.4, ,12.9, ,87, ,52, ,71, ,7.9, ,1.9, ,159.9, ,16.1, 
44,U.C. Riverside,Los Angeles Basin,3/29/2000,089,2.77, ,0.00, ,181, ,1.1, ,18.2, ,9.8, ,13.0, ,90, ,47, ,71, ,8.0, ,1.5, ,129.1, ,16.2, 
44,U.C. Riverside,Los Angeles Basin,3/30/2000,090,4.15, ,0.00, ,257, ,1.2, ,21.4, ,8.9, ,14.2, ,90, ,47, ,71, ,9.1, ,1.7, ,145.4, ,16.6, 
44,U.C. Riverside,Los Angeles Basin,3/31/2000,091,7.90, ,0.00, ,301,R,0.3, ,24.5, ,9.3, ,18.4, ,69, ,8, ,16, ,-7.9, ,4.5,R,392.9,R,15.7, 
44,U.C. Riverside,Los Angeles Basin,4/1/2000,092,8.19, ,0.00, ,303,R,0.4,Y,26.8, ,10.4, ,20.5, ,47, ,7, ,15,Y,-7.4,Y,4.6,R,393.9,R,15.1, 
44,U.C. Riverside,Los Angeles Basin,4/2/2000,093,5.55, ,0.00, ,292, ,0.7, ,26.4, ,9.3, ,17.9, ,54, ,24, ,36, ,2.7, ,2.0, ,176.9, ,15.4, 
44,U.C. Riverside,Los Angeles Basin,4/3/2000,094,5.28, ,0.00, ,288, ,1.0, ,27.3, ,9.6, ,18.8, ,74, ,25, ,44, ,6.4, ,1.6, ,139.0, ,16.6, 
44,U.C. Riverside,Los Angeles Basin,4/4/2000,095,5.56, ,0.00, ,291, ,1.1, ,29.7, ,11.1, ,19.7, ,80, ,24, ,48, ,8.4, ,1.7, ,149.6, ,17.5, 
44,U.C. Riverside,Los Angeles Basin,4/5/2000,096,5.09, ,0.00, ,294, ,1.1, ,25.6, ,10.4, ,17.2, ,90, ,32, ,59, ,9.0, ,1.7, ,144.8, ,17.9, 
44,U.C. Riverside,Los Angeles Basin,4/6/2000,097,3.38, ,0.00, ,220, ,1.3, ,21.7, ,10.4, ,14.5, ,95, ,48, ,76, ,10.3, ,1.5, ,128.0, ,18.0, 
44,U.C. Riverside,Los Angeles Basin,4/7/2000,098,3.64, ,0.00, ,221, ,1.3, ,25.2, ,10.9, ,16.4, ,94, ,42, ,71, ,11.1, ,1.4, ,124.2, ,18.0, 
44,U.C. Riverside,Los Angeles Basin,4/8/2000,099,5.53, ,0.00, ,288, ,1.1, ,29.6, ,10.9, ,19.0, ,90, ,18, ,51, ,8.5, ,1.8, ,155.3, ,18.7, 
44,U.C. Riverside,Los Angeles Basin,4/9/2000,100,5.22, ,0.00, ,301, ,1.0, ,24.5, ,8.6, ,16.5, ,78, ,28, ,53, ,6.8, ,1.8, ,157.5, ,18.4, 
44,U.C. Riverside,Los Angeles Basin,4/10/2000,101,4.83, ,0.00, ,283, ,1.2, ,25.6, ,8.7, ,16.1, ,93, ,35, ,64, ,9.3, ,1.9, ,164.3, ,18.5, 
44,U.C. Riverside,Los Angeles Basin,4/11/2000,102,5.99, ,0.00, ,298, ,1.1, ,30.2, ,10.2, ,19.9, ,86, ,14, ,47, ,8.3, ,1.9, ,162.1, ,18.7, 
44,U.C. Riverside,Los Angeles Basin,4/12/2000,103,6.07, ,0.00, ,298, ,0.9, ,30.8, ,12.2, ,21.0, ,65, ,17, ,37, ,5.8, ,1.8, ,156.0, ,19.0, 
44,U.C. Riverside,Los Angeles Basin,4/13/2000,104,5.85, ,0.00, ,289, ,1.0, ,26.8, ,11.6, ,18.7, ,75, ,24, ,48, ,7.5, ,2.4, ,209.5, ,19.2, 
44,U.C. Riverside,Los Angeles Basin,4/14/2000,105,2.61, ,0.00, ,204, ,,M,17.4, ,0.0,R,14.3, ,89, ,53, ,,M,,M,2.8, ,240.8, ,18.3, 
44,U.C. Riverside,Los Angeles Basin,4/15/2000,106,4.12, ,0.00, ,260, ,1.1, ,19.8, ,9.1, ,13.9, ,88, ,45, ,67, ,7.9, ,1.9, ,163.6, ,17.9, 
44,U.C. Riverside,Los Angeles Basin,4/16/2000,107,4.91, ,0.00, ,304, ,1.1, ,21.2, ,9.6, ,14.6, ,89, ,43, ,64, ,7.9, ,1.9, ,165.2, ,18.3, 
44,U.C. Riverside,Los Angeles Basin,4/17/2000,108,1.09, ,8.30, ,86, ,1.1, ,17.2, ,9.2, ,12.4, ,92, ,55, ,76, ,8.3, ,1.8, ,155.3, ,17.6, 
44,U.C. Riverside,Los Angeles Basin,4/18/2000,109,2.88, ,6.10, ,199, ,1.1, ,16.6, ,8.8, ,11.9, ,89, ,58, ,76, ,7.8, ,2.0, ,176.9, ,16.7, 
44,U.C. Riverside,Los Angeles Basin,4/19/2000,110,4.80, ,0.00, ,314, ,1.1, ,22.5, ,8.0, ,14.5, ,93, ,36, ,66, ,8.2, ,1.4, ,124.4, ,17.4, 
44,U.C. Riverside,Los Angeles Basin,4/20/2000,111,5.93, ,0.00, ,324, ,1.1, ,27.9, ,9.7, ,18.2, ,90, ,22, ,53, ,8.4, ,1.7, ,148.9, ,18.5, 
44,U.C. Riverside,Los Angeles Basin,4/21/2000,112,1.71, ,0.40, ,113, ,1.2, ,19.4, ,10.9, ,14.4, ,94, ,50, ,72, ,9.5, ,2.1, ,178.8, ,18.0, 
44,U.C. Riverside,Los Angeles Basin,4/22/2000,113,2.35, ,0.60, ,162, ,1.3, ,19.2, ,11.4, ,14.1, ,94, ,59, ,79, ,10.6, ,1.6, ,134.3, ,17.8, 
44,U.C. Riverside,Los Angeles Basin,4/23/2000,114,3.91, ,0.00, ,244, ,1.3, ,21.1, ,11.8, ,15.4, ,88, ,52, ,73, ,10.5, ,1.6, ,136.8, ,18.4, 
44,U.C. Riverside,Los Angeles Basin,4/24/2000,115,5.65, ,0.00, ,319, ,1.3, ,29.1, ,9.6, ,18.8, ,93, ,31, ,61, ,11.2, ,1.6, ,134.7, ,19.3, 
44,U.C. Riverside,Los Angeles Basin,4/25/2000,116,6.30, ,0.00, ,324, ,1.4, ,30.7, ,12.6, ,21.7, ,88, ,28, ,53, ,11.9, ,1.7, ,149.0, ,20.3, 
44,U.C. Riverside,Los Angeles Basin,4/26/2000,117,6.71, ,0.00, ,325, ,1.2, ,33.7, ,14.1, ,23.8, ,76, ,19, ,41, ,9.9, ,1.7, ,148.2, ,21.0, 
44,U.C. Riverside,Los Angeles Basin,4/27/2000,118,5.97, ,0.00, ,319, ,1.4, ,28.6, ,13.6, ,19.7, ,93, ,32, ,60, ,11.8, ,1.9, ,166.8, ,21.2, 
44,U.C. Riverside,Los Angeles Basin,4/28/2000,119,3.44, ,0.00, ,203, ,1.3, ,21.9, ,13.7, ,16.4, ,92, ,53, ,72, ,11.4, ,2.0, ,176.3, ,20.5, 
44,U.C. Riverside,Los Angeles Basin,4/29/2000,120,6.21, ,0.00, ,339, ,0.9, ,27.7, ,10.3, ,18.3, ,81, ,17, ,45, ,6.2, ,2.1, ,179.1, ,20.3, 
44,U.C. Riverside,Los Angeles Basin,4/30/2000,121,7.05, ,0.00, ,341, ,0.9, ,31.8, ,11.0, ,22.0, ,69, ,12, ,34, ,5.4, ,1.9, ,168.0, ,20.4, 
44,U.C. Riverside,Los Angeles Basin,5/1/2000,122,6.78, ,0.00, ,340, ,0.9, ,32.0, ,13.4, ,22.6, ,58, ,15, ,32, ,5.2, ,1.8, ,151.5, ,21.0, 
44,U.C. Riverside,Los Angeles Basin,5/2/2000,123,6.34, ,0.00, ,334, ,1.1, ,29.8, ,13.0, ,21.4, ,71, ,24, ,44, ,8.6, ,1.7, ,145.8, ,21.3, 
44,U.C. Riverside,Los Angeles Basin,5/3/2000,124,6.03, ,0.00, ,330, ,1.4, ,30.0, ,13.6, ,21.0, ,77, ,31, ,56, ,12.0, ,1.7, ,144.0, ,21.7, 
44,U.C. Riverside,Los Angeles Basin,5/4/2000,125,5.01, ,0.00, ,289, ,1.6, ,27.6, ,13.9, ,18.8, ,96, ,46, ,74, ,14.1, ,1.8, ,151.3, ,22.0, 
44,U.C. Riverside,Los Angeles Basin,5/5/2000,126,4.38, ,0.00, ,259, ,1.6, ,23.5, ,15.1, ,18.1, ,90, ,58, ,76, ,13.7, ,2.0, ,174.9, ,21.8, 
44,U.C. Riverside,Los Angeles Basin,5/6/2000,127,5.07, ,0.00, ,295, ,1.4, ,24.5, ,13.8, ,18.0, ,88, ,46, ,68, ,11.9, ,1.9, ,165.7, ,22.1, 
44,U.C. Riverside,Los Angeles Basin,5/7/2000,128,4.94, ,0.00, ,290, ,1.4, ,24.5, ,12.5, ,17.4, ,90, ,48, ,69, ,11.8, ,1.9, ,163.9, ,21.9, 
